,Movie title,Released Year,ImDb Rating
169,The Boss Baby,(2017),6.3
170,Trolls 2: World Tour,(2020),6.1
171,Redline,(2009),7.5
172,Shrek the Third,(2007),6.1
173,The Lorax,(2012),6.4
174,Dinosaur,(2000),6.4
175,Rumble,(2021),5.9
176,Jujutsu Kaisen 0: The Movie,(2021),7.9
177,How to Train Your Dragon 2,(2014),7.8
178,The Lego Batman Movie,(2017),7.3
179,Weathering with You,(2019),7.5
180,Kiki's Delivery Service,(1989),7.8
181,The Land Before Time,(1988),7.4
182,The Angry Birds Movie,(2016),6.2
183,Fire and Ice,(1983),6.5
184,Flushed Away,(2006),6.6
185,Epic,(2013),6.6
186,Scoob!,(2020),5.6
187,The Fox and the Hound,(1981),7.2
188,The Good Dinosaur,(2015),6.7
189,The SpongeBob SquarePants Movie,(2004),7.1
190,The Boss Baby 2: Family Business,(2021),5.9
191,Brother Bear,(2003),6.8
192,The Emoji Movie,(2017),3.3
193,Antz,(1998),6.6
194,The Sword in the Stone,(1963),7.1
195,Lady and the Tramp,(1955),7.3
196,Klaus,(2019),8.1
197,One Hundred and One Dalmatians,(1961),7.3
198,Chicken Little,(2005),5.7
199,The Simpsons Movie,(2007),7.3
200,Rise of the Guardians,(2012),7.2
201,Looney Tunes: Back in Action,(2003),5.8
202,Fantasia,(1940),7.7
203,Fritz the Cat,(1972),6.2
204,Hotel Transylvania 3: Summer Vacation,(2018),6.3
205,Ron's Gone Wrong,(2021),7
206,The SpongeBob Movie: Sponge on the Run,(2020),5.9
207,Dumbo,(1941),7.2
208,All Dogs Go to Heaven,(1989),6.7
209,The Wind Rises,(2013),7.7
210,Castle in the Sky,(1986),8
211,The Rescuers,(1977),6.9
212,Wish Dragon,(2021),7.2
213,Paprika,(2006),7.7
214,Nausicaä of the Valley of the Wind,(1984),8
215,The Grinch,(2018),6.3
216,Planes,(2013),5.7
217,The Witcher: Nightmare of the Wolf,(2021),7.2
218,"South Park: Bigger, Longer & Uncut",(1999),7.7
219,Over the Hedge,(2006),6.7
220,An American Tail,(1986),6.9
221,Frankenweenie,(2012),6.9
222,Monsters vs. Aliens,(2009),6.4
223,Turbo,(2013),6.4
224,The Lego Movie 2: The Second Part,(2019),6.6
225,Neon Genesis Evangelion: The End of Evangelion,(1997),8
226,Hotel Transylvania 2,(2015),6.6
227,Ice Age: Collision Course,(2016),5.6
228,Madagascar 3: Europe's Most Wanted,(2012),6.8
229,The Secret World of Arrietty,(2010),7.6
230,The Smurfs,(2011),5.4
231,A Scanner Darkly,(2006),7
232,Bambi,(1942),7.3
233,A Christmas Carol,(2009),6.8
234,Garfield,(2004),5
235,The Secret of NIMH,(1982),7.5
236,The Black Cauldron,(1985),6.3
237,Spies in Disguise,(2019),6.8
238,Hey Good Lookin',(1982),6.1
239,My Little Pony: A New Generation,(2021),6.8
240,Waking Life,(2001),7.7
241,Mary and Max,(2009),8.1
242,Surf's Up,(2007),6.7
243,Wolfwalkers,(2020),8
244,Shrek Forever After,(2010),6.3
245,Rio 2,(2014),6.3
246,I Want to Eat Your Pancreas,(2018),8
247,Bedknobs and Broomsticks,(1971),7
248,Madagascar: Escape 2 Africa,(2008),6.6
249,Wizards,(1977),6.3
250,Open Season,(2006),6.1
251,Spirit: Stallion of the Cimarron,(2002),7.1
252,The Ice Age Adventures of Buck Wild,(2022),4.3
253,Cloudy with a Chance of Meatballs 2,(2013),6.3
254,The Little Mermaid,(1975),7.4
255,ParaNorman,(2012),7
256,Back to the Outback,(2021),6.5
257,Kubo and the Two Strings,(2016),7.7
258,The Last Unicorn,(1982),7.3
259,The Pagemaster,(1994),6.1
260,Fireheart,(2022),6.1
261,Smurfs: The Lost Village,(2017),5.9
262,The Angry Birds Movie 2,(2019),6.4
263,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,(2021),9
264,Horton Hears a Who!,(2008),6.8
265,Osmosis Jones,(2001),6.3
266,Fantastic Planet,(1973),7.7
267,Evangelion: 3.0+1.01 Thrice Upon a Time,(2021),8
268,Over the Moon,(2020),6.3
269,Injustice,(2021),6.3
270,Whisper of the Heart,(1995),7.9
271,Loving Vincent,(2017),7.8
272,Ice Age: Dawn of the Dinosaurs,(2009),6.9
273,Alvin and the Chipmunks: Chipwrecked,(2011),4.3
274,Titan A.E.,(2000),6.6
275,Puss in Boots,(2011),6.6
276,Diary of a Wimpy Kid,(2021),5.1
277,The Rescuers Down Under,(1990),6.8
278,Apollo 10½: A Space Age Childhood,(2022),7.3
279,Ice Age: The Meltdown,(2006),6.8
280,Where Is Anne Frank,(2021),6.4
281,Penguins of Madagascar,(2014),6.6
282,Pete's Dragon,(1977),6.3
283,Wallace & Gromit: The Curse of the Were-Rabbit,(2005),7.5
284,Winnie the Pooh,(2011),7.1
285,Barnyard,(2006),5.6
286,Song of the South,(1946),7
287,The Brave Little Toaster,(1987),7.3
288,Watership Down,(1978),7.6
289,Batman: The Killing Joke,(2016),6.4
290,Jimmy Neutron: Boy Genius,(2001),6
291,Quest for Camelot,(1998),6.2
292,Thumbelina,(1994),6.2
293,The SpongeBob Movie: Sponge Out of Water,(2015),6
294,TMNT,(2007),6.2
295,Ice Age: Continental Drift,(2012),6.5
296,My Hero Academia: World Heroes' Mission,(2021),7.1
297,Anomalisa,(2015),7.2
298,Porco Rosso,(1992),7.7
299,Balto,(1995),7.1
300,Mr. Peabody & Sherman,(2014),6.8
301,Bubble,(2022),6.3
302,The Tale of The Princess Kaguya,(2013),8
303,The Great Mouse Detective,(1986),7.2
304,America: The Motion Picture,(2021),5.6
305,Alvin and the Chipmunks: The Squeakquel,(2009),4.5
306,Thunderbird 6,(1968),6.2
307,Captain Underpants: The First Epic Movie,(2017),6.2
308,My Little Pony: The Movie,(2017),6
309,Arthur and the Invisibles,(2006),6
310,Coonskin,(1974),6.4
311,"Batman: The Long Halloween, Part One",(2021),7.2
312,Catwoman: Hunted,(2022),5.6
313,Green Lantern: Beware My Power,(2022),6.1
314,Tales from Earthsea,(2006),6.3
315,The Garden of Words,(2013),7.4
316,When Marnie Was There,(2014),7.7
317,5 Centimeters per Second,(2007),7.5
318,Hoodwinked,(2005),6.5
319,Gnomeo & Juliet,(2011),5.9
320,The Swan Princess,(1994),6.4
321,The Cat Returns,(2002),7.2
322,The Little Prince,(2015),7.7
323,Batman: Mask of the Phantasm,(1993),7.8
324,Made in Abyss: Dawn of the Deep Soul,(2020),8.1
325,White Snake,(2019),7
326,UglyDolls,(2019),5
327,Marmaduke,(2022),3.5
328,Abominable,(2019),7
329,Song of the Sea,(2014),8
330,We're Back! A Dinosaur's Story,(1993),6
331,From Up on Poppy Hill,(2011),7.4
332,The Peanuts Movie,(2015),7
333,Home on the Range,(2004),5.3
334,Ladybug & Cat Noir: The Movie,(2022),9.1
335,G-Force,(2009),5.1
336,Blaze,(2022),6.9
337,Red Shoes and the Seven Dwarfs,(2019),6.4
338,Alvin and the Chipmunks: The Road Chip,(2015),4.9
339,Star Wars: The Clone Wars,(2008),5.9
340,Charlotte's Web,(1973),6.9
341,Boonie Bears: Back to Earth,(2022),5.8
342,Sinbad: Legend of the Seven Seas,(2003),6.7
343,Only Yesterday,(1991),7.6
344,Tad: The Lost Explorer,(2012),5.9
345,Ninja Scroll,(1993),7.8
346,Happy Feet Two,(2011),5.8
347,Hop,(2011),5.4
348,The Willoughbys,(2020),6.3
349,The Lego Ninjago Movie,(2017),6
350,Leap!,(2016),6.7
351,Cowboy Bebop: The Movie,(2001),7.8
352,The Pirates! Band of Misfits,(2012),6.7
353,Legend of the Guardians: The Owls of Ga'Hoole,(2010),6.9
354,The Smurfs 2,(2013),5.3
355,Primal: Tales of Savagery,(2019),8.4
356,Strange Magic,(2015),5.7
357,Chickenhare and the Hamster of Darkness,(2022),6.3
358,Heavy Metal 2000,(2000),5.3
359,The Transformers: The Movie,(1986),7.2
360,Astro Boy,(2009),6.2
361,Violet Evergarden: The Movie,(2020),8.3
362,Storks,(2016),6.8
363,Evil Toons,(1992),4
364,The Thief and the Cobbler,(1993),7.1
365,Garfield: A Tail of Two Kitties,(2006),5
366,The Many Adventures of Winnie the Pooh,(1977),7.5
367,Beavis and Butt-Head Do America,(1996),6.8
368,Pil's Adventures,(2021),6.2
369,Tarzan,(2013),4.8
370,Spirit Untamed,(2021),5.5
371,An American Tail: Fievel Goes West,(1991),6.4
372,Vampire Hunter D: Bloodlust,(2000),7.6
373,Belladonna of Sadness,(1973),7.3
374,The Wild,(2006),5.2
375,Pokémon: The First Movie - Mewtwo Strikes Back,(1998),6.2
376,Little Nemo: Adventures in Slumberland,(1989),7.1
377,Wicked City,(1987),6.7
378,The Summit of the Gods,(2021),7.5
379,Persepolis,(2007),8
380,The Nut Job,(I) (2014),5.7
381,Stuart Little 2,(2002),5.5
382,Realm of Terracotta,(2021),6
383,The Adventures of Rocky & Bullwinkle,(2000),4.3
384,Rock-A-Doodle,(1991),6
385,Wolf Children,(2012),8.1
386,Curious George,(2006),6.5
387,Planes: Fire & Rescue,(2014),5.9
388,Trouble,(I) (2019),5.8
389,To the Forest of Firefly Lights,(2011),7.8
390,"Goodbye, Don Glees!",(2021),7.3
391,Memories,(1995),7.5
392,The Ant Bully,(2006),5.8
393,The Tale of Despereaux,(2008),6.1
394,A Whisker Away,(2020),6.7
395,Escape from Planet Earth,(2012),5.8
396,Smallfoot,(2018),6.6
397,The Girl Who Leapt Through Time,(2006),7.7
398,Inu-oh,(2021),7.3
399,Bigfoot Family,(2020),5.8
400,Fantasia 2000,(1999),7.1
401,Heavy Traffic,(1973),6.4
402,Igor,(2008),5.9
403,Batman: The Long Halloween,(2022),8.1
404,Final Fantasy: The Spirits Within,(2001),6.4
405,Seal Team,(2021),5.5
406,The Spine of Night,(2021),6.4
407,The Secret of Kells,(2009),7.6
408,Extinct,(2021),5.4
409,Missing Link,(2019),6.7
410,The Breadwinner,(2017),7.7
411,Valiant,(2005),5.5
412,The Last: Naruto the Movie,(2014),7.6
413,I Lost My Body,(2019),7.5
414,Gantz: O,(2016),7.1
415,"Batman: The Long Halloween, Part Two",(2021),7.1
