,Movie title,Released Year,ImDb Rating
172,Paws of Fury: The Legend of Hank,(2022),5.6
173,The Girl Next Door,(2004),6.7
174,Jumanji: The Next Level,(2019),6.7
175,The Man from U.N.C.L.E.,(2015),7.2
176,Just Go with It,(2011),6.4
177,What's Love Got to Do with It?,(2022),8.8
178,Who Invited Them,(2022),5.5
179,Bedazzled,(2000),6.1
180,Despicable Me,(2010),7.6
181,Not Okay,(2022),6
182,Secretary,(2002),6.9
183,Love Actually,(2003),7.6
184,Zootopia,(2016),8
185,Pride and Prejudice and Zombies,(2016),5.8
186,The Intouchables,(2011),8.5
187,Almost Famous,(2000),7.9
188,Thallumaala,(2022),7.2
189,Cashback,(2006),7.1
190,Hercules,(1997),7.3
191,War Dogs,(2016),7.1
192,The Parent Trap,(1998),6.6
193,Jumanji: Welcome to the Jungle,(2017),6.9
194,Casper,(1995),6.1
195,Heathers,(1988),7.2
196,Office Space,(1999),7.7
197,Lady Bird,(2017),7.4
198,Real Genius,(1985),6.9
199,Pretty Woman,(1990),7.1
200,"Love, Rosie",(2014),7.1
201,Charlie and the Chocolate Factory,(2005),6.7
202,Hubie Halloween,(2020),5.2
203,No Strings Attached,(I) (2011),6.2
204,Clue,(1985),7.2
205,My Cousin Vinny,(1992),7.6
206,Scott Pilgrim vs. the World,(2010),7.5
207,Shrek,(2001),7.9
208,An American Werewolf in London,(1981),7.5
209,The Waterboy,(1998),6.1
210,Clerks II,(2006),7.3
211,Sweet Home Alabama,(2002),6.2
212,Crazy Rich Asians,(2018),6.9
213,Little Miss Sunshine,(2006),7.8
214,Kick-Ass,(2010),7.6
215,Paddington,(2014),7.3
216,Up,(2009),8.3
217,Revenge of the Nerds,(1984),6.6
218,Emma.,(2020),6.7
219,All Ladies Do It,(1992),5.2
220,Old School,(2003),7
221,Never Been Kissed,(1999),6
222,Logan Lucky,(2017),7
223,Tropic Thunder,(2008),7
224,Caddyshack,(1980),7.2
225,Trick 'r Treat,(2007),6.7
226,Jennifer's Body,(2009),5.4
227,The Little Hours,(2017),5.8
228,Jerry Maguire,(1996),7.3
229,Fighting with My Family,(2019),7.1
230,Father of the Bride,(1991),6.5
231,Finding Nemo,(2003),8.2
232,American Made,(2017),7.1
233,The Princess Diaries,(2001),6.3
234,Birds of Prey,(2020),6
235,Ant-Man and the Wasp,(2018),7
236,Palm Springs,(2020),7.4
237,Men in Black,(1997),7.3
238,Sing,(2016),7.1
239,Role Models,(2008),6.8
240,The Princess and the Frog,(2009),7.1
241,American Reunion,(2012),6.7
242,Cinderella,(I) (2021),4.2
243,Galaxy Quest,(1999),7.4
244,The Sandlot,(1993),7.8
245,HollyBlood,(2022),4.3
246,Love & Other Drugs,(2010),6.7
247,Game Night,(I) (2018),6.9
248,A Cinderella Story,(2004),5.9
249,Father of the Bride,(2022),5.9
250,Sausage Party,(2016),6.1
251,"Monsters, Inc.",(2001),8.1
252,Paddington 2,(2017),7.8
253,The 40-Year-Old Virgin,(2005),7.1
254,3 Idiots,(2009),8.4
255,Young Frankenstein,(1974),8
256,Bridesmaids,(I) (2011),6.8
257,500 Days of Summer,(2009),7.7
258,Weird Science,(1985),6.6
259,Aristotle and Dante Discover the Secrets of the Universe,(2022),7.3
260,The Blues Brothers,(1980),7.9
261,School of Rock,(2003),7.2
262,Tangled,(2010),7.7
263,American Graffiti,(1973),7.4
264,The Mask,(1994),6.9
265,Austin Powers: The Spy Who Shagged Me,(1999),6.6
266,Ted,(2012),6.9
267,Kingsman: The Golden Circle,(2017),6.7
268,The Ballad of Buster Scruggs,(2018),7.3
269,Ant-Man,(2015),7.3
270,EuroTrip,(2004),6.6
271,"Yours, Mine & Ours",(2005),5.4
272,Porky's,(1981),6.2
273,Burnt,(I) (2015),6.6
274,The Proposal,(I) (2009),6.7
275,Amélie,(2001),8.3
276,Jumanji,(1995),7
277,Soul,(2020),8
278,RED,(2010),7
279,The Favourite,(2018),7.5
280,Major League,(1989),7.2
281,Big Trouble in Little China,(1986),7.2
282,Official Competition,(2022),7.1
283,Don Jon,(2013),6.5
284,Scooby-Doo,(2002),5.2
285,Silver Linings Playbook,(2012),7.7
286,"Lock, Stock and Two Smoking Barrels",(1998),8.2
287,Another Round,(2020),7.7
288,Bring It On,(2000),6.1
289,Sonic the Hedgehog,(2020),6.5
290,Teen Wolf,(1985),6.1
291,Charlie's Angels,(2019),4.9
292,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4
293,The Wedding Singer,(1998),6.9
294,Senior Year,(2022),5.5
295,Grown Ups,(I) (2010),5.9
296,Mamma Mia!,(2008),6.5
297,The Longest Yard,(2005),6.4
298,Step Brothers,(2008),6.9
299,Death Becomes Her,(1992),6.6
300,Austin Powers in Goldmember,(2002),6.2
301,The World's End,(2013),6.9
302,She's All That,(1999),5.9
303,Captain Fantastic,(2016),7.8
304,Shaun of the Dead,(2004),7.9
305,Sky High,(2005),6.3
306,Wedding Crashers,(2005),7
307,Their Finest,(2016),6.7
308,Lost in Translation,(2003),7.7
309,The Other Woman,(2014),6
310,Freaky,(2020),6.3
311,My Favorite Year,(1982),7.3
312,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7
313,Maverick,(1994),7
314,13 Going on 30,(2004),6.2
315,Aladdin,(1992),8
316,Sex Tape,(2014),5.1
317,National Lampoon's Animal House,(1978),7.4
318,Minions,(2015),6.4
319,National Lampoon's Vacation,(1983),7.3
320,Cha Cha Real Smooth,(2022),7.3
321,Jungle Cruise,(2021),6.6
322,Big,(1988),7.3
323,Holes,(2003),7
324,Friends with Benefits,(2011),6.5
325,Next Friday,(2000),6.1
326,Without a Paddle,(2004),5.8
327,Luca,(2021),7.4
328,Coyote Ugly,(2000),5.7
329,The Bubble,(2022),4.7
330,Vice,(I) (2018),7.2
331,Blast from the Past,(1999),6.7
332,"I, Tonya",(2017),7.5
333,Liar Liar,(1997),6.9
334,Teenage Mutant Ninja Turtles,(1990),6.7
335,Happy Gilmore,(1996),7
336,Gremlins,(1984),7.3
337,Ocean's Eight,(2018),6.3
338,Where the Heart Is,(2000),6.7
339,The Birdcage,(1996),7.2
340,Tad the Lost Explorer and The Curse of the Mummy,(2022),6
341,The Change-Up,(2011),6.3
342,Groundhog Day,(1993),8.1
343,Thiruchitrambalam,(2022),8.1
344,Sex Drive,(2008),6.5
345,Mars Attacks!,(1996),6.4
346,Shazam!,(2019),7
347,There's Something About Mary,(1998),7.1
348,Steel Magnolias,(1989),7.3
349,The Secret Life of Walter Mitty,(2013),7.3
350,Killer Klowns from Outer Space,(1988),6.1
351,Monty Python and the Holy Grail,(1975),8.2
352,Kindergarten Cop,(1990),6.2
353,Hitman's Wife's Bodyguard,(2021),6.1
354,When Harry Met Sally...,(1989),7.7
355,A Simple Favor,(2018),6.8
356,Better Off Dead...,(1985),7.1
357,Blazing Saddles,(1974),7.7
358,Raya and the Last Dragon,(2021),7.3
359,Mulan,(1998),7.6
360,The Babysitter,(I) (2017),6.3
361,Despicable Me 2,(2013),7.3
362,The Other Guys,(2010),6.6
363,The Hating Game,(2021),6.2
364,Dumb and Dumber,(1994),7.3
365,Yesterday,(III) (2019),6.8
366,Who Framed Roger Rabbit,(1988),7.7
367,Army of Thieves,(2021),6.4
368,Vicky Cristina Barcelona,(2008),7.1
369,Uncle Buck,(1989),7
370,The Little Rascals,(1994),6.3
371,The Santa Clause,(1994),6.5
372,A Bug's Life,(I) (1998),7.2
373,The Iron Giant,(1999),8.1
374,She's the Man,(2006),6.3
375,The Witches,(2020),5.3
376,The King of Staten Island,(2020),7.1
377,Through My Window,(2022),5.4
